Serial Output Enabled
MAX6675
Time Setpoint Input Output
1 150.00 25.00 2000.00
2 150.00 25.25 2000.00
3 150.00 25.00 2000.00
4 150.00 24.75 2000.00
5 150.00 24.75 2000.00
6 150.00 25.25 2000.00
7 150.00 25.50 2000.00
8 150.00 25.75 2000.00
9 150.00 25.75 2000.00
10 150.00 25.50 2000.00
11 150.00 26.00 2000.00
12 150.00 26.50 2000.00
13 150.00 26.75 2000.00
14 150.00 27.25 2000.00
15 150.00 27.25 2000.00
16 150.00 28.25 2000.00
17 150.00 28.75 2000.00
18 150.00 29.00 2000.00
19 150.00 30.00 2000.00
20 150.00 30.75 2000.00
21 150.00 31.25 2000.00
22 150.00 31.25 2000.00
23 150.00 33.00 2000.00
24 150.00 33.75 2000.00
25 150.00 34.75 2000.00
26 150.00 35.75 2000.00
27 150.00 36.75 2000.00
28 150.00 37.75 2000.00
29 150.00 38.50 2000.00
30 150.00 39.50 2000.00
31 150.00 40.75 2000.00
32 150.00 42.25 2000.00
33 150.00 43.50 2000.00
34 150.00 44.25 2000.00
35 150.00 46.00 2000.00
36 150.00 46.75 2000.00
37 150.00 48.50 2000.00
38 150.00 50.00 2000.00
39 150.00 51.25 2000.00
40 150.00 52.75 2000.00
41 150.00 54.00 2000.00
42 150.00 55.50 2000.00
43 150.00 56.50 2000.00
44 150.00 58.25 2000.00
45 150.00 58.25 2000.00
46 150.00 60.75 2000.00
47 150.00 62.50 2000.00
48 150.00 64.00 2000.00
49 150.00 65.50 2000.00
50 150.00 66.50 2000.00
51 150.00 68.50 2000.00
52 150.00 69.75 2000.00
53 150.00 69.75 2000.00
54 150.00 72.75 2000.00
55 150.00 73.50 2000.00
56 150.00 75.50 2000.00
57 150.00 77.25 2000.00
58 150.00 78.50 2000.00
59 150.00 80.00 2000.00
60 150.00 81.50 2000.00
61 150.00 83.00 2000.00
62 150.00 84.50 2000.00
63 150.00 85.75 2000.00
64 150.00 87.25 2000.00
65 150.00 88.50 2000.00
66 150.00 90.25 2000.00
67 150.00 91.75 2000.00
68 150.00 93.25 2000.00
69 150.00 94.25 2000.00
70 150.00 96.00 2000.00
71 150.00 97.00 2000.00
72 150.00 99.00 2000.00
73 150.00 100.25 2000.00
74 150.00 102.00 2000.00
75 150.00 103.50 2000.00
76 150.00 104.50 2000.00
77 150.00 106.00 2000.00
78 150.00 107.75 2000.00
79 150.00 107.75 2000.00
80 150.00 110.25 2000.00
81 150.00 112.25 2000.00
82 150.00 113.25 2000.00
83 150.00 114.75 2000.00
84 150.00 116.25 2000.00
85 150.00 117.75 2000.00
